mid,title,rating,rank,type,genre,rdate,language,cover,description,trailer,released 
0034583,Casablanca,8.5,48,movie,"['Drama', 'Romance', 'War']",23 Jan 1943 (USA),"['English', 'French', 'German', 'Italian']",https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,"['A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.', ""The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.::Kyle Perez"", ""In World War II Casablanca, Rick Blaine, exiled American and former freedom fighter, runs the most popular nightspot in town. The cynical lone wolf Blaine comes into the possession of two valuable letters of transit. When Nazi Major Strasser arrives in Casablanca, the sycophantic police Captain Renault does what he can to please him, including detaining a Czechoslovak underground leader Victor Laszlo. Much to Rick's surprise, Lazslo arrives with Ilsa, Rick's one time love. Rick is very bitter towards Ilsa, who ran out on him in Paris, but when he learns she had good reason to, they plan to run off together again using the letters of transit. Well, that was their original plan....::Gary Jackson <garyjack5@cogeco.ca>"", 'During World War II, Europeans who were fleeing from the Germans, sought refuge in America. But to get there they would first have to go Casablanca and once they get there, they have to obtain exit visas which are not very easy to come by. Now the hottest spot in all of Casablanca is Rick\'s Cafe which is operated by Rick Blaine, an American expatriate, who for some reason can\'t return there, and he is also extremely cynical. Now it seems that two German couriers were killed and the documents they were carrying were taken. Now one of Rick\'s regulars, Ugarte entrusts to him some letters of transit, which he intends to sell but before he does he is arrested for killing the couriers. Captain Renault, the Chief of Police, who is neutral in his political views, informs Rick that Victor Laszlo, a resistance leader from Czechoslovakia, is in Casablanca and will do anything to get an exit visa but Renault has been ""told"" by Major Strasser of the Gestapo, to keep Laszlo in Casablanca. Laszlo goes to Rick\'s to meet Ugarte, because he was the one Ugarte was going to sell the letters to. But since Ugarte was arrested he has to find another way. Accompanying him is Ilsa Lund, who knew Rick when he was in Paris, and when they meet some of Rick\'s old wounds reopen. It is obvious that Rick\'s stone heart was because of her leaving him. And when they learn that Rick has the letters, he refuses to give them to him, because ""he doesn\'t stick his neck out for anyone"".::rcs0411@yahoo.com', 'Rick Blaine, who owns a nightclub in Casablanca, Morocco, discovers his old flame Ilsa is in town with her husband, Victor Laszlo. Laszlo is a resistance leader from Czechoslovakia, and with Germans on his tail, Ilsa knows Rick can help them get out of the country - but will he?::Anonymous']",,TRUE,1943
0064116,Once Upon a Time in the West,8.5,49,movie,['Western'],24 Sep 1969 (India),"['English', 'Italian', 'Spanish']",https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.', ""Jill McBain travels to the wild frontier, Utah, where she and her new husband planned to settle down, but upon arrival, she finds him and his children dead. There's a lot of land, and potential, but there are also those who want to take it--at any cost. Even if it means killing a man and his kids.::DrGoodBeat"", ""The sprawling railways are reaching the far west, and somewhere along its way, in a small border town, the paths of four characters will cross and clash: a young woman looking for a fresh start, an outlaw on the run for a crime he didn't commit (this time), a ruthless killer on the payroll of a railroad tycoon, and a mysterious man with no name who plays a couple of sad chords on a harmonica and a few cadences on his revolver.::Azeitonascomchantili"", ""Jill McBain travels to the wild frontier, Utah, where she and her new husband planned to settle down. Upon arrival, she finds him and his children dead. There's a lot of land, and potential, but there are also those want to take it--at any cost. Even if it means killing a man and his children.::garykmcd"", ""A young woman leaves her old life behind for her new husband and a new future out West. When her train arrives, she finds that he and his children have been murdered. A man known only as Harmonica knows Frank did it and goes after him. Just then, another outlaw, Cheyenne, appears intent on tracking down Frank. As good pursuit of Frank gets closer to him, Cheyenne leaves none of Frank's associates alive.::J. S. Golden"", ""Nestled deep in the middle of nowhere, suddenly Irishman Brett McBain's dusty settlement, the Sweetwater, becomes a pole of attraction for beautiful widows in black and notorious desperadoes alike. As Frank, the unscrupulous gun-for-hire, tries every trick in the book to fulfill the aspiration of his terminally ill boss, railroad magnate Morton, another visitor, Harmonica, the taciturn stranger with the lighting-fast right hand, enters the picture. Now, greed and ambition put everyone's already fragile allegiances to the test, as hidden personal agendas seem to rule them all. However, the past always comes back to haunt us. Can there be redemption in revenge?::Nick Riganasa""]",,TRUE,1969
0047396,Rear Window,8.5,50,movie,"['Mystery', 'Thriller']",01 Aug 1954 (Turkey),['English'],https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,"['A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.', 'Professional photographer L.B. ""Jeff"" Jefferies breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Fremont and his visiting nurse Stella to investigate.::Col Needham <col@imdb.com>', 'L.B. ""Jeff"" Jefferies is an immobilized photo-journalist who, after breaking his leg photographing a racetrack accident, finds himself wheelchair bound and confined to the walls of his apartment. His rear window looks out onto a courtyard and several other apartments, where the binocular-wielding Jefferies spends his days as a voyeur spying on his neighbors. Jefferies gradually becomes more and more engrossed with this activity of his, and soon brings his girlfriend, Lisa, in on the thrill of his voyeurism. It\'s all fun and games for the two until they witness what they believe to be a murder in progress, becoming increasingly convinced as they continue to observe the apartment.::Kyle Perez', ""Successful magazine photographer L.B. Jefferies - Jeff to his friends - is on week seven of eight of a cast on his broken leg sustained while on assignment, the problems being not only not able to work, but being confined to his Greenwich Village apartment over the course, now during a heatwave, with his only visitors being Stella, the acerbic-tongued insurance provided nurse, and socialite Lisa Fremont, a fashion reporter and his girlfriend. While he is aware that Lisa sees their relationship as *the* long term, Jeff is thinking about ending things with her in not seeing her following him around the globe in often less than comfortable situations while on assignment. With his apartment facing onto a courtyard surrounded by other apartment buildings, Jeff largely relieves his boredom by spying on his neighbors who have their windows wide open due to the heatwave, many whose stories, which he can only surmise by what he sees, are of a personal relationship nature: the lonely woman who tries to make her life less lonely, the dancer with many suitors who probably don't care about her beyond her sex appeal, a middle aged couple who owns the neighborhood dog lowered down to the courtyard garden on a pulley system, and a man, seemingly a salesman, caring for his bedridden female companion, probably his wife, they all often serenaded by a songwriter on a piano as he works. While they are both disgusted by his voyeuristic activities for different reasons, Jeff is able to convince both Stella and Lisa that, based solely on his behavior, that the salesman most likely murdered his wife by mutilation, seemingly for another woman. While he also tells his fellow war veteran friend, now Police Detective Tom Doyle, off the record, Tom, while indulging him to an extent, is only humoring him in believing his imagination going into overdrive in his boredom. Left to their own devices, Jeff, Lisa and Stella enter into a game of cat and mouse with the salesman to discover evidence, the salesman who they learn is named Lars Thorwald, that game which may become deadly if what they believe is indeed true and Thorwald feels like he is being cornered.::Huggo"", 'Photographer L.B. ""Jeff"" Jefferies is confined to his small apartment with a broken leg. To pass the time, he watches the goings-on of his motley assortment of neighbors - a frustrated yet fun-loving composer, a middle-aged couple with a small dog, a dancer who seems to enjoy practicing her routines while scantily clad, a pair of reclusive newlyweds, a lonely woman who seems to live in a fantasy world, and a salesman and his invalid wife. One day the wife inexplicably disappears, and the salesman starts doing things that lead Jeff to suspect that he may have murdered her. Unfortunately, he has no proof and no one seems to believe him. Eventually, however, things start falling together in a way that make it look like Jeff might just be right after all. Finally, his girlfriend Lisa and his nurse Stella come up with a plan to catch the killer red-handed. But doing so could put all of their lives in danger.::LOTUS73', 'In 1950-something New York, an adventuresome free-lance photographer finds himself confined to a wheelchair in his tiny apartment while a broken leg mends. With only the occasional distraction of a visiting nurse and his frustrated love interest, a beautiful fashion consultant, his attention is naturally drawn to the courtyard outside his ""rear window"" and the occupants of the apartment buildings which surround it. Soon he is consumed by the private dramas of his neighbors lives which play themselves out before his eyes. There is ""Miss Lonelyhearts,"" so desperate for her imaginary lover that she sits him a plate at the dinner table and feigns their ensuing chat. There is the frustrated composer banging on his piano, the sunbathing sculptress, the shapely dancer, the newlyweds who are concealed from their neighbors by a window shade, and a bungling middle-aged couple with a little yapping dog who sleep on the fire escape to avoid the sweltering heat of their apartment. ...And then there is the mysterious salesman whose nagging, invalid wife\'s sudden absence from the scene ominously coincides with middle-of-the-night forays into the dark, sleeping city with his sample case. Where did she go? What\'s in the trunk that the salesman ships away? What\'s he been doing with the knives and the saw that he cleans at the kitchen sink?::Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>', 'Professional photographer L.B. ""Jeff"" Jefferies is a prisoner of sorts in his own apartment sporting a hip cast from one of his adventures. He has little to do and spends much of the time observing his neighbors, including a newlywed couple, a middle-aged woman who lives alone and a ballerina who seems to attract men without much effort. He becomes particularly interested in one neighbor, Lars Thorwald, a traveling salesman whose invalid wife spends much of her time in bed. When he sees Thorwald make several trips out of his apartment on a particularly rainy night, he begins to wonder what may be going on. The disappearance of his wife makes him think he may have murdered her. Jefferies has few visitors, but the elegant and beautiful Lisa Fremont, who is madly in love with him, sees him daily and while she is at first skeptical, soon comes around to his way of thinking. In order to get proof however, it will be necessary for her to enter Thorwald\'s apartment.::garykmcd']",https://www.youtube.com/watch?v=m01YktiEZCw,TRUE,1954
0095765,Cinema Paradiso,8.5,51,movie,"['Drama', 'Romance']",17 Nov 1988 (Italy),['Italian'],https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@.jpg,"[""A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist."", ""A boy who grew up in a native Sicilian Village returns home as a famous director after receiving news about the death of an old friend. Told in a flashback, Salvatore reminiscences about his childhood and his relationship with Alfredo, a projectionist at Cinema Paradiso. Under the fatherly influence of Alfredo, Salvatore fell in love with film making, with the duo spending many hours discussing about films and Alfredo painstakingly teaching Salvatore the skills that became a stepping stone for the young boy into the world of film making. The film brings the audience through the changes in cinema and the dying trade of traditional film making, editing and screening. It also explores a young boy's dream of leaving his little town to foray into the world outside.::Clarisse P."", 'In post-World War II Sicily, at the small village of Giancaldo, the fatherless eight-year-old boy, Salvatore ""Totò"" Di Vita, befriends Alfredo, the grizzled projectionist of the local Cinema Paradiso, and gains a mentor, and the father he never had. As the wide-eyed boy becomes enchanted by the dazzling world of the movies, growing up with the everlasting characters of Akira Kurosawa, Jean Renoir, John Wayne, Charles Chaplin, and everything in between, his vivid dreams start taking shape, even though the village priest, Father Adelfio, never misses an opportunity to censor films. But, after thirty long years of absence, the death of a dear one forces silver-haired Salvatore, now a prominent film director, to reconnect with his old hometown, and his faded, celluloid-scented childhood memories. Can he remember the taste of youth\'s first kiss?::Nick Riganas', ""A man receives news from his aging mother in a little town that someone he once knew has passed away. A beautiful story unfolds about the man's childhood friendship with an old man who was the projectionist at the local theater. Their bond was one that contained many highlights and tragedies, and shaped the way for a young boy to grow and move out of his rundown village to pursue a dream.::Tam Bui <tbui@bjt.net>""]",https://www.youtube.com/watch?v=C2-GX0Tltgw,TRUE,1988
0078748,Alien,8.4,52,movie,"['Horror', 'Sci-Fi']",06 Dec 1979 (India),['English'],https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.', ""In the distant future, the crew of the commercial spaceship Nostromo are on their way home when they pick up a distress call from a distant moon. The crew are under obligation to investigate and the spaceship descends on the moon afterwards. After a rough landing, three crew members leave the spaceship to explore the area on the moon. At the same time as they discover a hive colony of some unknown creature, the ship's computer deciphers the message to be a warning, not a distress call. When one of the eggs is disturbed, the crew realizes that they are not alone on the spaceship and they must deal with the consequences.::blazesnakes9"", 'In the far reaches of space, a crew on-board the ship Nostromo are returning to Earth until they receive a distress call, an alien one. Unknown to them, they will soon take back with them the most terrifying creature in the universe: The Xenomorph, a killing machine that bleeds corrosive acid whenever anyone tries to hurt it. All alone in space, no one can hear them scream: trying to warn the rest of the galaxy of the terror that is the Xenomorph.::Johnny', 'In the depths of the cold, boundless space, Mother, the state-of-the-art AI super-computer aboard the commercial towing vehicle, USCSS Nostromo, detects a possible distress signal from the nearby barren, inhospitable moon, Acheron, and awakens the seven-member crew from cryosleep. To investigate the mysterious transmission, Captain Arthur Dallas, along with the executive officer, Thomas Kane, and navigator, Joan Lambert, descend to the dim-lit celestial body known as LV-426, only to discover a downed but relatively intact extraterrestrial spacecraft, and its bizarre cargo. But, was this cryptic signal, indeed, a desperate SOS, or was it a warning? Either way, somehow, something else, too, has found its way into the Nostromo, and now, its silent, dark corridors will never be safe again. Who dares to confront the formidable Alien, the unwanted eighth passenger?::Nick Riganas', 'In the distant future, during her return to Earth, the commercial spaceship Nostromo intercepts a distress call from a distant moon. The seven-member crew are awakened from hypersleep and the spaceship subsequently descends on the moon. While exploring the moon, a three-member team of the crew discover a derelict spaceship and a huge chamber inside her containing thousands of eggs. When a curious team member goes near the egg, the parasite inside the egg attacks him, rendering him unconscious. He is brought back aboard and the spaceship takes off. After a little while, the parasite dies and his host wakes up seemingly unruffled. Everything soon returns to normal, but not for long.::Soumitra']",https://www.youtube.com/watch?v=svnAD0TApb8,TRUE,1979
0078788,Apocalypse Now,8.4,53,movie,"['Drama', 'Mystery', 'War']",15 Aug 1979 (USA),"['English', 'French', 'Vietnamese']",https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"['A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.', ""It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him. Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?::Derek O'Cain"", ""In 1969, at the height of the Vietnam War, Captain Benjamin Willard is resting in his hotel room, waiting for a mission to be given to him by the United States Army. A mission that no one else has ever been given before. The mission is to travel upriver to assassinate a colonel, who's gone AWOL and acts like a demi-god to a group of tribal natives in the jungle. Taking the mission for what it is, Willard travels upriver along with a ragtag group of American soldiers, some of which are called by their nicknames. Along the way, several obstacles get in their way of the mission including a deadly encounter with a tiger and heavy enemy fire at a strategic bridge. As Willard nears the end of his mission, he soon finds himself reeling in the horrors and sanity of war itself as he confronts the colonel face to face in which Willard's true nature begins to emerge slowly.::blazesnakes9"", ""The worn out and fatigued U.S Army captain Benjamin L. Willard is sent on a harrowing and surreal mission into the deepest parts of the jungle during the height of the Vietnam War, with the objective of eliminating the rogue Walter E. Kurtz, a Green Beret officer who has completely lost his sanity. Together with a small squad of soldiers, Willard sets out by boat to travel upriver towards Kurtz' base. But Willard soon eerily realizes that the closer he gets to his target, the more he seems himself in him. Everything could happen on the mission, but one thing is clear; if successful, Willard will not return the same.::goddangwatir"", 'At the height of the Vietnam war, experienced soldier and covert operative Captain Benjamin Willard withdraws from a drunken and disheveled state to accept his most daring and secretive mission yet. His objective is to travel down the Nyung river by boat and assassinate a Green Beret Colonel named Kurtz who has gone insane deep within the Jungle, and leads his men and a local tribe as a god on illegal guerrilla missions into enemy territory. As Willard and the crew of a Navy PR boat unaware of his objective embark on their journey from the security of civilization into the untamed depths of the jungle, Willard confronts not only the same horrors and hypocrisy that pushed the level headed Colonel Kurtz over the edge into an abyss of insanity, but the primal violence of human nature and the darkness of his own heart.::redcommander27', ""Vietnam, 1969. Burnt out Special Forces officer Captain Willard is sent into the jungle with top-secret orders to find and kill renegade Colonel Kurtz who has set up his own army within the jungle. As Willard descends into the jungle, he is slowly over taken by the jungle's mesmerizing powers and battles the insanity which surrounds him. His boat crew succumbs to drugs and is slowly killed off one by one. As Willard continues his journey he becomes more and more like the man he was sent to kill.::Michael Arndt""]",https://www.youtube.com/watch?v=FTjG-Aux_yQ,TRUE,1979
0209144,Memento,8.4,54,movie,"['Mystery', 'Thriller']",20 Oct 2000 (India),['English'],https://m.media-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"[""A man with short-term memory loss attempts to track down his wife's murderer."", 'Memento chronicles two separate stories of Leonard, an ex-insurance investigator who can no longer build new memories, as he attempts to find the murderer of his wife, which is the last thing he remembers. One story line moves forward in time while the other tells the story backwards revealing more each time.::Scion013', ""A memory inside a memory, Memento is a complicated head spinning adventure. Leonard is determined to avenge his wife's murder. However, unable to remember anything that happens day-to-day due to a condition he sustained, short term memory loss, he has to write himself note after note that still don't mean anything after he falls asleep. The film goes back in time to reveal each little bit of the puzzle as he tries to find out the person who killed his wife and makes the audience feel just as confused as he is. The narrative closely follows a phone call Pearce has in which he talks about Sammy Jankis a former client of his who he believed had the same condition. The film takes an unexpected twist as the two characters have a lot more in common than is initially put across.::gab_b270@hotmail.com"", ""Leonard Shelby has short term memory loss resulting from an injury he sustained which was associated with the murder of his wife. He remembers his life prior to the incident, such as being an insurance claims investigator. He has learned to cope with his memory loss through dealing with a man named Sammy Jankis, a person he investigated professionally who also had short term memory issues. Some of these coping mechanism are to have a system of where to place things, talk to people face-to-face if possible rather than on the telephone as to be able to gauge their true intention, take Polaroids and write copious notes, the most important of those which he tattoos on his body so that they become permanent. Leonard's current mission is to find and kill his wife's murderer, who he believes is a man named John G., a name which is tattooed on his body. Over the course of a day, Leonard is assisted in this mission by a few people seemingly independent of each other, including a man named Teddy and a woman named Natalie. However, each time he meets them, he has no idea who they are, why they are helping him and if indeed they are working toward the same goal as him.::Huggo"", ""Leonard is an insurance investigator whose memory has been damaged following a head injury he sustained after intervening on his wife's murder. His quality of life has been severely hampered after this event, and he can now only live a comprehendable life by tattooing notes on himself and taking pictures of things with a Polaroid camera. The movie is told in forward flashes of events that are to come that compensate for his unreliable memory, during which he has liaisons with various complex characters. Leonard badly wants revenge for his wife's murder, but, as numerous characters explain, there may be little point if he won't remember it in order to provide closure for him. The movie veers between these future occurrences and a telephone conversation Leonard is having in his motel room in which he compares his current state to that of a client whose claim he once dealt with.::<tgraham@currantbun.com>"", ""Point blank in the head a man shoots another. In flashbacks, each one earlier in time than what we've just seen, the two men's pasts unfold. Leonard, as a result of a blow to the head during an assault on his wife, has no short-term memory. He's looking for his wife's killer, compensating for his disability by taking Polaroids, annotating them and tattooing important facts on his body. We meet the loquacious Teddy and the seductive Natalie (a barmaid who promises to help) and we glimpse Leonard's wife through memories from before the assault. Leonard also talks about Sammy Jankis, a man he knew with a similar condition. Has Leonard found the killer? Who's manipulating whom?::<jhailey@hotmail.com>""]",,TRUE,2000
0082971,Indiana Jones and the Raiders of the Lost Ark,8.4,55,movie,"['Action', 'Adventure']",10 Dec 1981 (India),"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']",https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@.jpg,"[""In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."", 'The year is 1936. An archeology professor named Indiana Jones is venturing in the jungles of South America searching for a golden statue. Unfortunately, he sets off a deadly trap but miraculously escapes. Then, Jones hears from a museum curator named Marcus Brody about a biblical artifact called The Ark of the Covenant, which can hold the key to human existence. Jones has to venture to vast places such as Nepal and Egypt to find this artifact. However, he will have to fight his enemy Rene Belloq and a band of Nazis in order to reach it.::John Wiggins', ""As the Third Reich continues its reign of terror, Adolf Hitler is on a quest for the legendary Ark of the Covenant- resting place of the Ten Commandments- whose supernatural powers, legend says, can wipe out entire armies. The U.S. Government turns to Dr. Indiana Jones, for the mission. Relentlessly pursued by Hitler's henchmen, Indy infiltrates their massive digging operation in a race against time to discover the Well of the Souls, where the Ark has lain undisturbed for centuries.::Jwelch5742"", ""With Adolf Hitler's Nazis rumoured to have pinpointed the secret resting place of the fabled Ark of the Covenant, the sacred artefact that holds the Ten Commandments, the U.S. government enlists the help of the American archaeologist, university professor, and man of adventure, Indiana Jones. Assumed to contain an unfathomable destructive force, Indiana travels to the dangerous mountains of Nepal, and then, to mysterious Cairo, where he teams up with his old flame, Marion, and his friend, Sallah. But, this is a frenzied race against time, and the road to the coveted relic passes through Indy's scheming arch-rival, Dr René Belloq, and the sadistic Gestapo commander Major Toht's armed-to-the-teeth army. Can Indiana Jones prevent the Ark from falling into the wrong hands?::Nick Riganas"", 'Renowned archeologist and expert in the occult, Dr. Indiana Jones, is hired by the U.S. Government to find the Ark of the Covenant, which is believed to still hold the ten commandments. Unfortunately, agents of Hitler are also after the Ark. Indy, and his ex-flame Marion, escape from various close scrapes in a quest that takes them from Nepal to Cairo.::Colin Tinto <cst@imdb.com>']",https://www.youtube.com/watch?v=Rh_BJXG1-44,TRUE,1981
0032553,The Great Dictator,8.4,56,movie,"['Comedy', 'Drama', 'War']",15 Oct 1940 (Turkey),"['English', 'Esperanto']",https://m.media-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"[""Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime."", ""20 years after the end of WWI, in which the nation of Tomainia was on the losing side, Adenoid Hynkel has risen to power as the ruthless dictator of the country. He believes in a pure Aryan state and the decimation of the Jews. This situation is unknown to a simple Jewish Tomainian barber who has been hospitalized since a WWI battle. Upon his release the barber, who had been suffering from memory loss about the war, is shown the new persecuted life of the Jews by many living in the Jewish ghetto, including a washerwoman named Hannah with whom he begins a relationship. The barber is ultimately spared such persecution by Commander Schultz, whom he saved in that WWI battle. The lives of all Jews in Tomainia are eventually spared with a policy shift by Hynkel himself, who is doing so for ulterior motives. But those motives include a desire for world domination, starting with the invasion of neighboring Osterlich, which may be threatened by Benzino Napaloni, the dictator of neighboring Bacteria. Ultimately Schultz, who has turned traitor against Hynkel's regime, and the barber may be able to join forces to take control of the situation, using Schultz's inside knowledge of the regime's workings and the barber's uncanny resemblance to one of those in power.::Huggo"", ""During the last days of the First World War, a clumsy soldier saves the life of devoted military pilot Schultz. Unfortunately, their flight from the advancing enemy ends in a severe crash with the clumsy soldier losing his memory. After many years in the hospital, the amnesia patient gets released and reopens his old barber shop in the Jewish ghetto. But times have changed in the country of Tomania: Dictator Adenoid Hynkel, who accidentally looks very similar to the barber, has imposed his merciless grip on the country, and Jewish people are discriminated against. One day the barber gets in trouble and is brought before a commanding officer, who turns out to be his old comrade Schultz. The ghetto enjoys protection from then on. Meanwhile, Dictator Hynkel develops big plans: he wants to become Dictator of the whole world and needs a scapegoat for the public. Soon Schultz is being arrested for being too Jewish-friendly, and all Jews except those who managed to flee are transported into Concentration Camps. Hynkel is planning to march into Osterlich to show off against Napaloni, Dictator of Bacteria, who has already deployed his troops along the small country's other border. Meanwhile, Schultz and the barber manage to escape, disguised in military uniforms. Luckily, Schultz and the barber are picked up by Tomanian forces and the barber is mixed up with Hynkel himself. The small barber now gets the once-in-a-lifetime chance to speak to the people of Osterlich and all of Tomania, who listen eagerly on the radio.::Julian Reischl <julianreischl@mac.com>""]",,TRUE,1940
0405094,The Lives of Others,8.4,57,movie,"['Drama', 'Mystery', 'Thriller']",23 Mar 2006 (Germany),['German'],https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@.jpg,"['In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.', ""Gerd Wiesler is an officer with the Stasi, the East German secret police. The film begins in 1984 when Wiesler attends a play written by Georg Dreyman, who is considered by many to be the ultimate example of the loyal citizen. Wiesler has a gut feeling that Dreyman can't be as ideal as he seems, and believes surveillance is called for. The Minister of Culture agrees but only later does Wiesler learn that the Minister sees Dreyman as a rival and lusts after his partner Christa-Maria. The more time he spends listening in on them, the more he comes to care about them. The once rigid Stasi officer begins to intervene in their lives, in a positive way, protecting them whenever possible. Eventually, Wiesler's activities catch up to him and while there is no proof of wrongdoing, he finds himself in menial jobs - until the unbelievable happens.::garykmcd"", 'East Berlin, 1984. The Cold War is still raging and the communist bloc does not trust its own citizens. A secret police agent is tasked with conducting surveillance on a writer and his lover. Over time, rather than being coldly distant, he finds himself being absorbed by their private lives.::grantss', '1985, East Berlin: The Stasi (East German secret police) bugs the apartment of a famous writer. A staunch party-line Stasi officer is put in charge of the electronic eavesdropping. Gradually the intelligence officer becomes a silent accomplice .::Wiedemann & Berg Film', ""In the early 1980s, Georg Dreyman (a successful dramatist) and his longtime companion Christa-Maria Sieland (a popular actress), were huge intellectual stars in (former) East Germany, although they secretly don't always toe the party line. One day, the Minister of Culture becomes interested in Christa, so the secret service agent Wiesler is instructed to observe and sound out the couple, but their life fascinates him more and more.::fippi2000""]",https://www.youtube.com/watch?v=FppW5ml4vdw,TRUE,2006
